Empresa;Departamento;Municipio;Número único de identificación del sistema de tratamiento (NUPTAR);Caudal medio anual a la entrada (L/S);Caudal medio anual a la salida (LTS/SG);pH Unidades;Temperatura (°C);Sóidos Totales (mg/litro);DBO (Kg/Día);DQO (Kg/Día;Fecha de cargue;;
ACUEDUCTO ALCANTARILLADO Y ASEO DE COCONUCO S.A ESP;CAUCA;PURACE;4405;0;0;0;0;0;0;0;22-may-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;AMALFI;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ANORI;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARBOLETES;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ARMENIA;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
